Year,Age,ASFR
1984,19,0.01366
1984,20,0.0233
1984,21,0.0381
1984,22,0.05901
1984,23,0.09117
1984,24,0.13192
1984,25,0.16973
1984,26,0.19453
1984,27,0.19814
1984,28,0.18925
1984,29,0.16679
1984,30,0.13592
1984,31,0.10519
1984,32,0.08052
1984,33,0.05902
1984,34,0.04348
1984,35,0.03092
1984,36,0.02143
1984,37,0.01438
1984,38,0.00943
1984,39,0.00632
1984,40,0.004
1984,41,0.00245
1984,42,0.00145
1984,43,0.00086
1984,44,0.00042
1984,45,0.00018
1984,46,0.00007
1984,47,0.00003
1984,48,0.00002
1984,49,0
1984,50,0
1984,51,0
1984,52,0
1984,53,0
1984,54,0
1984,55+,0
1985,-12,0
1985,13,0
1985,14,0.00002
1985,15,0.00011
1985,16,0.00075
1985,17,0.00253
1985,18,0.00568
1985,19,0.01279
1985,20,0.02275
1985,21,0.03585
1985,22,0.05557
1985,23,0.08434
1985,24,0.12076
1985,25,0.15842
1985,26,0.18538
1985,27,0.19468
1985,28,0.18321
1985,29,0.16591
1985,30,0.13873
1985,31,0.10773
1985,32,0.08251
1985,33,0.06171
1985,34,0.04434
1985,35,0.03137
1985,36,0.02222
1985,37,0.01496
1985,38,0.01001
1985,39,0.00656
1985,40,0.00405
1985,41,0.00247
1985,42,0.00158
1985,43,0.00076
1985,44,0.00041
1985,45,0.00017
1985,46,0.00007
